,S_Type,Distance_distance,FLUX_I,FLUX_H,Fe_H_Teff,Class,subtype,Mbol,Lum,Teff,Mass
0,A8/9V,64.7027,,6.2709999084472665,0,A,8,2.61,7.112135136533293,7800.0,1.53
1,G0V,38.8457,,6.189000129699707,6126,G,0,4.33,1.4588142602753487,5950.0,1.04
2,F3V,39.9602,5.739999771118164,5.330999851226807,6715,F,3,3.425,3.3573761424295476,6865.0,1.27
3,G2V,38.523,6.9000000953674325,6.14900016784668,5873,G,2,4.54,1.2022644346174132,5770.0,0.986
4,G6V+G7V,,,,5778,G,6,4.9,0.8629785477669701,5510.0,0.879
5,G8V,45.847,7.933000087738037,7.0869998931884775,5540,G,8,5.09,0.7244359600749902,5370.0,0.829
6,F7V,45.9124,,6.170000076293945,6490,F,7,3.99,1.9952623149688797,6275.0,1.125
7,G8V,17.5648,,4.989999771118164,5336,G,8,5.09,0.7244359600749902,5370.0,0.829
8,F6V,47.0788,6.699999809265138,6.0900001525878915,6432,F,6,3.86,2.2490546058357817,6400.0,1.16
9,F8V,42.9701,,6.248000144958496,6147,F,8,4.12,1.7701089583174212,6150.0,1.09
10,G2.5V,21.3102,,5.0349998474121085,5756,G,2,4.54,1.2022644346174132,5770.0,0.986
11,A5IVn,22.2639,3.7000000476837163,3.539999961853028,7922,A,5,2.1149999999999998,11.220184543019641,8410.0,1.725
12,A1Va,56.1284,,4.7709999084472665,0,A,1,1.44,20.892961308540407,9370.0,2.005
13,B8/A0,42.993,,4.677000045776367,10825,B,8,-0.1,86.29785477669702,12000.0,2.84
14,K4Ve,44.4988,8.23799991607666,6.7210001945495605,4376,K,4,6.02,0.307609681474071,4590.0,0.693
15,F2V,57.0985,,6.059000015258789,7164,F,2,3.27,3.8725764492161727,7040.0,1.31
16,G1V+K5V,,,,5828,G,1,4.4350000000000005,1.3243415351946644,5860.0,1.013
17,F7V,44.1766,,6.2170000076293945,6378,F,7,3.99,1.9952623149688797,6275.0,1.125
18,A3VpSrCr_Ksn,68.4336,,5.584000110626222,0,A,3,1.795,15.066070661867425,8830.0,1.865
19,F7/8V,40.9774,6.4000000953674325,5.693999767303468,6273,F,7,3.99,1.9952623149688797,6275.0,1.125
20,F7V,55.4545,,6.714000225067139,0,F,7,3.99,1.9952623149688797,6275.0,1.125
21,G5,29.9171,6.699999809265138,5.940000057220459,5779,G,5,4.805,0.9418895965228418,5575.0,0.906
22,K0V,35.7191,,6.796000003814697,5149,K,0,5.31,0.5915616341754742,5200.0,0.781
23,G5V,50.6758,,7.252999782562256,5742,G,5,4.805,0.9418895965228418,5575.0,0.906
24,K0III,109.3589,7.89300012588501,6.681000232696532,0,K,0,5.31,0.5915616341754742,5200.0,0.781
25,F7V,41.2376,,5.0879998207092285,6848,F,7,3.99,1.9952623149688797,6275.0,1.125
26,F6V,87.4929,,7.664000034332275,0,F,6,3.86,2.2490546058357817,6400.0,1.16
27,G9V,35.3321,,6.65399980545044,5421,G,9,5.199999999999999,0.6546361740672755,5285.0,0.8049999999999999
28,G7V,45.3145,7.7729997634887695,6.946000099182129,5597,G,7,4.995,0.7906786279998251,5440.0,0.854
29,G6V,46.3521,,6.861999988555907,5777,G,6,4.9,0.8629785477669701,5510.0,0.879
30,K1V,39.8438,,6.943999767303468,4720,K,1,5.465,0.512861383991365,5065.0,0.7595000000000001
31,A0V,70.8331,,5.026000022888184,9333,A,0,1.24,25.11886431509581,9700.0,2.07
32,A1V,57.0666,5.539999961853027,5.527999877929688,8790,A,1,1.44,20.892961308540407,9370.0,2.005
33,K0/1V,24.0441,6.816999912261963,5.9000000953674325,5415,K,0,5.31,0.5915616341754742,5200.0,0.781
34,G1V,26.726,,4.526000022888184,5782,G,1,4.4350000000000005,1.3243415351946644,5860.0,1.013
35,F2IV/V,71.1541,7.130000114440918,6.689000129699707,6775,F,2,3.27,3.8725764492161727,7040.0,1.31
36,F9V,17.3444,,4.400000095367432,6222,F,9,4.225,1.6069412530128782,6050.0,1.065
37,G8V,3.6033,2.4100000858306885,1.7200000286102295,5358,G,8,5.09,0.7244359600749902,5370.0,0.829
38,A1V,60.9674,,5.026000022888184,9110,A,1,1.44,20.892961308540407,9370.0,2.005
39,F0V,65.5811,,6.35099983215332,6976,F,0,2.95,5.199959965335161,7420.0,1.4
40,G4V,41.4115,7.342999935150146,6.554999828338622,5691,G,4,4.71,1.0280162981264738,5640.0,0.933
41,G7V,49.5349,7.869999885559082,6.986000061035156,5551,G,7,4.995,0.7906786279998251,5440.0,0.854
42,F7V,45.61,,6.303999900817871,6263,F,7,3.99,1.9952623149688797,6275.0,1.125
43,B8IV,46.0955,3.75,3.8199999332427983,14180,B,8,-0.1,86.29785477669702,12000.0,2.84
44,G0V,73.9087,,7.328000068664551,6006,G,0,4.33,1.4588142602753487,5950.0,1.04
45,M1V,27.1928,,7.560999870300293,3849,M,1,8.12,0.04446312674691091,3550.0,0.358
46,G2V,50.391000000000005,,6.9099998474121085,5858,G,2,4.54,1.2022644346174132,5770.0,0.986
47,F4IV,49.004,6.329999923706055,5.860000133514403,6801,F,4,3.58,2.910717118066606,6690.0,1.23
48,K7V,11.5373,6.992000102996826,5.125999927520752,3831,K,7,6.66,0.17060823890031235,4125.0,0.616
49,F8V,57.8754,,6.699999809265138,0,F,8,4.12,1.7701089583174212,6150.0,1.09
50,G8V,58.6975,,6.632999897003174,0,G,8,5.09,0.7244359600749902,5370.0,0.829
51,F0/2III/IV,57.9321,6.329999923706055,5.9710001945495605,7025,F,0,2.95,5.199959965335161,7420.0,1.4
52,B9Va,47.3577,,4.433000087738037,10575,B,9,0.57,46.55860935229591,10850.0,2.455
53,A1Vb,40.4734,,4.619999885559082,9132,A,1,1.44,20.892961308540407,9370.0,2.005
54,F8VFe-0.4,21.9251,,4.65500020980835,6253,F,8,4.12,1.7701089583174212,6150.0,1.09
55,F6V,48.9409,,4.295000076293944,6702,F,6,3.86,2.2490546058357817,6400.0,1.16
57,K6Ve,44.4373,8.807000160217285,7.234000205993652,4100,K,6,6.44,0.20892961308540386,4260.0,0.647
58,F8V,17.3267,,4.320000171661377,6237,F,8,4.12,1.7701089583174212,6150.0,1.09
59,M0Ve,48.7648,,7.361000061035156,3208,M,0,7.55,0.07516228940182057,3700.0,0.454
60,F7V,38.8597,,5.993000030517577,6246,F,7,3.99,1.9952623149688797,6275.0,1.125
61,F3IV/V,48.1983,,5.629000186920166,6903,F,3,3.425,3.3573761424295476,6865.0,1.27
62,G5V,33.0646,7.4000000953674325,5.677000045776367,0,G,5,4.805,0.9418895965228418,5575.0,0.906
63,A2V,51.7149,,5.156000137329102,8408,A,2,1.64,17.378008287493763,9040.0,1.94
64,K1V,40.1263,7.815000057220459,6.651000022888184,4965,K,1,5.465,0.512861383991365,5065.0,0.7595000000000001
65,K1V,10.3584,4.889999866485597,4.130000114440918,5056,K,1,5.465,0.512861383991365,5065.0,0.7595000000000001
66,A2V,51.1253,,,0,A,2,1.64,17.378008287493763,9040.0,1.94
67,G4V,48.8892,,6.931000232696532,5780,G,4,4.71,1.0280162981264738,5640.0,0.933
68,A3V,54.2211,,5.85099983215332,8147,A,3,1.795,15.066070661867425,8830.0,1.865
69,M1Ve,19.56,8.371999740600586,6.578000068664551,3792,M,1,8.12,0.04446312674691091,3550.0,0.358
70,K7Ve,32.2262,8.548000335693361,6.852000236511231,3900,K,7,6.66,0.17060823890031235,4125.0,0.616
71,G8/K0V,38.7061,7.639999866485597,6.7940001487731925,5500,G,8,5.09,0.7244359600749902,5370.0,0.829
72,F7V,42.7751,,5.8439998626708975,6301,F,7,3.99,1.9952623149688797,6275.0,1.125
73,A2/3III/IV,79.46600000000001,6.690000057220459,6.443999767303468,0,A,2,1.64,17.378008287493763,9040.0,1.94
74,A3V,59.7693,,,8299,A,3,1.795,15.066070661867425,8830.0,1.865
75,F3V,,,,6865,F,3,3.425,3.3573761424295476,6865.0,1.27
76,G5V,9.1457,3.910000085830689,3.3499999046325684,5929,G,5,4.805,0.9418895965228418,5575.0,0.906
77,A3IV/V,69.6427,6.25,6.114999771118164,8433,A,3,1.795,15.066070661867425,8830.0,1.865
78,K2V,3.2028,2.539999961853028,1.75,4999,K,2,5.62,0.4446312674691087,4930.0,0.738
79,K2:Vnk,29.6272,5.0,3.25,4781,K,2,5.62,0.4446312674691087,4930.0,0.738
80,K7V,25.6177,,6.5229997634887695,0,K,7,6.66,0.17060823890031235,4125.0,0.616
81,G8V,56.7966,8.23799991607666,7.304999828338622,5263,G,8,5.09,0.7244359600749902,5370.0,0.829
82,A5III-IV,41.8111,5.300000190734863,5.165999889373778,0,A,5,2.1149999999999998,11.220184543019641,8410.0,1.725
83,M3.0V,16.8022,9.097999572753906,7.173999786376952,3584,M,3,9.415,0.013489628825916547,3250.0,0.193
84,F3IV/V,57.0545,,6.223999977111816,6776,F,3,3.425,3.3573761424295476,6865.0,1.27
85,A1Va,52.6368,,5.366000175476074,0,A,1,1.44,20.892961308540407,9370.0,2.005
86,B9.5Van,52.6995,,4.630000114440918,10046,B,9,0.57,46.55860935229591,10850.0,2.455
87,G4V,52.4554,,6.8379998207092285,5844,G,4,4.71,1.0280162981264738,5640.0,0.933
88,K4V,15.300999999999998,6.723999977111816,5.486000061035156,4696,K,4,6.02,0.307609681474071,4590.0,0.693
89,G3V,,,,5813,G,3,4.625,1.1117317272815914,5705.0,0.9595
90,F7/8V,18.7712,,4.3420000076293945,6403,F,7,3.99,1.9952623149688797,6275.0,1.125
91,F2Vs,34.8476,5.099999904632568,4.576000213623047,6823,F,2,3.27,3.8725764492161727,7040.0,1.31
92,G5V,16.8949,5.199999809265137,4.499000072479248,5912,G,5,4.805,0.9418895965228418,5575.0,0.906
93,F6V,56.9655,,6.695000171661378,6320,F,6,3.86,2.2490546058357817,6400.0,1.16
94,G3V,79.7315,8.397000312805176,7.701000213623048,5801,G,3,4.625,1.1117317272815914,5705.0,0.9595
95,G8V,22.1041,6.195000171661378,5.455999851226807,5656,G,8,5.09,0.7244359600749902,5370.0,0.829
96,G0IV,22.0869,5.699999809265138,5.01200008392334,5999,G,0,4.33,1.4588142602753487,5950.0,1.04
97,F1V,20.4506,,3.469000101089477,7060,F,1,3.1100000000000003,4.487453899331322,7230.0,1.355
98,A3m,29.3125,,4.577000141143799,7541,A,3,1.795,15.066070661867425,8830.0,1.865
99,G9.5Vk:,35.6447,7.920000076293945,6.872000217437744,5028,G,9,5.199999999999999,0.6546361740672755,5285.0,0.8049999999999999
100,F0IV,29.7823,,4.769999980926514,7295,F,0,2.95,5.199959965335161,7420.0,1.4
100,F0IV,29.7823,,4.769999980926514,7295,F,0,2.95,5.199959965335161,7420.0,1.4
101,G3V,54.5099,7.789999961853027,6.96999979019165,0,G,3,4.625,1.1117317272815914,5705.0,0.9595
102,K4V,13.2381,6.665999889373778,5.309999942779541,4454,K,4,6.02,0.307609681474071,4590.0,0.693
103,F2/3IV/V,67.5863,,6.067999839782715,6619,F,2,3.27,3.8725764492161727,7040.0,1.31
104,A3Vb_lB,57.4706,,5.730000019073486,7798,A,3,1.795,15.066070661867425,8830.0,1.865
105,F3V,80.538,7.389999866485597,6.951000213623048,6795,F,3,3.425,3.3573761424295476,6865.0,1.27
106,G2.5IV-V,13.2413,,4.116000175476073,5758,G,2,4.54,1.2022644346174132,5770.0,0.986
107,F7V,62.7857,7.540999889373778,6.991000175476074,6217,F,7,3.99,1.9952623149688797,6275.0,1.125
108,G9V,50.8239,8.057999610900879,7.098999977111816,5311,G,9,5.199999999999999,0.6546361740672755,5285.0,0.8049999999999999
109,M3.3V,15.8328,9.100000381469727,7.1459999084472665,3412,M,3,9.415,0.013489628825916547,3250.0,0.193
110,M3Ve+M4Ve,11.11,8.151000022888184,,0,M,3,9.415,0.013489628825916547,3250.0,0.193
111,G9V,25.7652,,5.88700008392334,5265,G,9,5.199999999999999,0.6546361740672755,5285.0,0.8049999999999999
112,F5V,30.4679,,5.131999969482422,6522,F,5,3.7199999999999998,2.558585886905647,6545.0,1.1949999999999998
113,A0Va_lB,34.2364,,4.517000198364258,9226,A,0,1.24,25.11886431509581,9700.0,2.07
114,M0Ve,26.9008,8.177000045776367,6.428999900817871,4048,M,0,7.55,0.07516228940182057,3700.0,0.454
115,G5V,77.9672,,7.859000205993652,6249,G,5,4.805,0.9418895965228418,5575.0,0.906
116,B9V,60.4825,,5.0219998359680185,10910,B,9,0.57,46.55860935229591,10850.0,2.455
117,A0V,132.7915,,7.624000072479247,0,A,0,1.24,25.11886431509581,9700.0,2.07
118,A2IV,59.2793,,5.401000022888184,8511,A,2,1.64,17.378008287493763,9040.0,1.94
119,F9VFe-0.5,11.6247,,3.407000064849853,6246,F,9,4.225,1.6069412530128782,6050.0,1.065
121,A4V,86.1237,,6.684000015258789,0,A,4,1.95,13.061708881318419,8620.0,1.79
122,F6V,47.6633,6.809999942779541,6.2179999351501465,6299,F,6,3.86,2.2490546058357817,6400.0,1.16
123,G5,55.0925,,7.504000186920166,0,G,5,4.805,0.9418895965228418,5575.0,0.906
124,G1,14.5852,4.400000095367432,4.02899980545044,6170,G,1,4.4350000000000005,1.3243415351946644,5860.0,1.013
125,K6V,17.4793,7.577000141143799,6.105000019073486,0,K,6,6.44,0.20892961308540386,4260.0,0.647
126,G0,92.4129,,7.890999794006348,6014,G,0,4.33,1.4588142602753487,5950.0,1.04
127,F3/5IV/V,92.07,,7.304999828338622,0,F,3,3.425,3.3573761424295476,6865.0,1.27
128,F3V,103.6764,,7.842000007629394,0,F,3,3.425,3.3573761424295476,6865.0,1.27
129,F8V(n)k:,26.8773,,5.086999893188477,6131,F,8,4.12,1.7701089583174212,6150.0,1.09
130,G5V,19.4778,6.190999984741211,5.3420000076293945,5424,G,5,4.805,0.9418895965228418,5575.0,0.906
131,K2+Vk:,36.725,,7.0900001525878915,4848,K,2,5.62,0.4446312674691087,4930.0,0.738
132,G3V,72.4638,8.470000267028809,7.065999984741211,5940,G,3,4.625,1.1117317272815914,5705.0,0.9595
133,F2V,51.5243,,5.853000164031982,6887,F,2,3.27,3.8725764492161727,7040.0,1.31
134,G2V,57.9096,7.64900016784668,6.9749999046325675,5792,G,2,4.54,1.2022644346174132,5770.0,0.986
135,K6Ve,24.64,8.380999565124513,6.829999923706055,0,K,6,6.44,0.20892961308540386,4260.0,0.647
136,A1V,70.4622,,5.992000102996826,9118,A,1,1.44,20.892961308540407,9370.0,2.005
137,K1V,80.4842,,7.929999828338622,0,K,1,5.465,0.512861383991365,5065.0,0.7595000000000001
138,F0IV,44.3801,,5.27899980545044,7015,F,0,2.95,5.199959965335161,7420.0,1.4
139,F4V,59.1139,6.789999961853027,6.2880001068115225,6744,F,4,3.58,2.910717118066606,6690.0,1.23
140,F8,,,,0,F,8,4.12,1.7701089583174212,6150.0,1.09
141,G0V,53.8112,7.486000061035156,6.84499979019165,6049,G,0,4.33,1.4588142602753487,5950.0,1.04
142,K0V(e),47.8721,8.26099967956543,7.1560001373291025,0,K,0,5.31,0.5915616341754742,5200.0,0.781
143,A2IV-V(n),21.8737,,3.313999891281128,8337,A,2,1.64,17.378008287493763,9040.0,1.94
144,A6V,19.7538,3.5799999237060547,3.509999990463257,8052,A,6,2.28,9.63829023623971,8200.0,1.66
145,G7V,47.1333,,7.091000080108643,5458,G,7,4.995,0.7906786279998251,5440.0,0.854
146,K0V,42.5393,,7.060999870300293,5260,K,0,5.31,0.5915616341754742,5200.0,0.781
147,G0V,64.1869,,7.015999794006348,5959,G,0,4.33,1.4588142602753487,5950.0,1.04
148,F5V,57.2007,,6.357999801635742,6525,F,5,3.7199999999999998,2.558585886905647,6545.0,1.1949999999999998
149,G0V,47.9182,,6.535999774932861,6125,G,0,4.33,1.4588142602753487,5950.0,1.04
150,K1V,35.7359,,6.901999950408936,4983,K,1,5.465,0.512861383991365,5065.0,0.7595000000000001
151,M1Ve,22.4041,9.336999893188477,7.28000020980835,3652,M,1,8.12,0.04446312674691091,3550.0,0.358
152,G6.5V,16.7331,5.610000133514403,4.86299991607666,5571,G,6,4.9,0.8629785477669701,5510.0,0.879
153,A3Vas,73.2805,,,8729,A,3,1.795,15.066070661867425,8830.0,1.865
154,G2V,63.1884,,7.447000026702881,5933,G,2,4.54,1.2022644346174132,5770.0,0.986
155,K4Ve,39.2626,8.456000328063965,6.984000205993652,4260,K,4,6.02,0.307609681474071,4590.0,0.693
156,G0V,52.0124,,6.591000080108643,0,G,0,4.33,1.4588142602753487,5950.0,1.04
157,K1V(e),50.12,8.185000419616701,7.0879998207092285,5027,K,1,5.465,0.512861383991365,5065.0,0.7595000000000001
158,A5V,71.4281,,6.297999858856201,7762,A,5,2.1149999999999998,11.220184543019641,8410.0,1.725
159,G6V,60.9522,8.340000152587889,7.581999778747559,5738,G,6,4.9,0.8629785477669701,5510.0,0.879
160,G1V,23.8896,5.869999885559082,5.1599998474121085,5897,G,1,4.4350000000000005,1.3243415351946644,5860.0,1.013
161,K0/1V(+G),29.5131,,5.912000179290772,5783,K,0,5.31,0.5915616341754742,5200.0,0.781
162,G5V,44.2339,,6.811999797821045,5636,G,5,4.805,0.9418895965228418,5575.0,0.906
163,F0Vn,44.3553,,5.006999969482422,7362,F,0,2.95,5.199959965335161,7420.0,1.4
164,F8IV,35.6938,,5.142000198364258,6164,F,8,4.12,1.7701089583174212,6150.0,1.09
165,K7V(e),22.2412,8.222999572753906,6.64300012588501,4170,K,7,6.66,0.17060823890031235,4125.0,0.616
166,G0,60.8472,8.189999580383299,7.019999980926514,0,G,0,4.33,1.4588142602753487,5950.0,1.04
167,G0V,,,,5884,G,0,4.33,1.4588142602753487,5950.0,1.04
168,A2V,47.461999999999996,,5.070000171661377,8892,A,2,1.64,17.378008287493763,9040.0,1.94
169,K0V(+G),36.0719,,6.40500020980835,5619,K,0,5.31,0.5915616341754742,5200.0,0.781
170,G6V,55.5871,8.258999824523926,7.380000114440918,5628,G,6,4.9,0.8629785477669701,5510.0,0.879
171,A1V+DA,,-1.4299999475479126,-1.3300000429153442,9882,A,1,1.44,20.892961308540407,9370.0,2.005
172,F5VFe+0.4,,,5.127999782562256,6534,F,5,3.7199999999999998,2.558585886905647,6545.0,1.1949999999999998
173,A3V,55.4093,,5.5349998474121085,7825,A,3,1.795,15.066070661867425,8830.0,1.865
174,F8V,31.1944,,5.515999794006348,6129,F,8,4.12,1.7701089583174212,6150.0,1.09
175,K0V(e),95.6489,9.210000038146973,7.89300012588501,5206,K,0,5.31,0.5915616341754742,5200.0,0.781
176,G9V,18.3602,5.989999771118164,5.0970001220703125,5326,G,9,5.199999999999999,0.6546361740672755,5285.0,0.8049999999999999
177,F5.5VFe-0.7CH-0.4,38.1233,,5.526000022888184,6503,F,5,3.7199999999999998,2.558585886905647,6545.0,1.1949999999999998
178,K2V,63.7999,9.013999938964844,7.8309998512268075,4938,K,2,5.62,0.4446312674691087,4930.0,0.738
179,G0V,43.1941,,6.708000183105469,5698,G,0,4.33,1.4588142602753487,5950.0,1.04
180,A8III/IV,47.423,,5.459000110626222,7372,A,8,2.61,7.112135136533293,7800.0,1.53
181,A4IV,28.1901,,3.5,8395,A,4,1.95,13.061708881318419,8620.0,1.79
183,F9V,36.649,8.680000305175781,5.260000228881836,0,F,9,4.225,1.6069412530128782,6050.0,1.065
184,A1V,72.2032,,6.394000053405763,0,A,1,1.44,20.892961308540407,9370.0,2.005
186,F7V,36.5938,,5.690999984741211,6287,F,7,3.99,1.9952623149688797,6275.0,1.125
187,G1V,33.9252,,5.73199987411499,6164,G,1,4.4350000000000005,1.3243415351946644,5860.0,1.013
188,F7V,53.3703,,6.508999824523926,6179,F,7,3.99,1.9952623149688797,6275.0,1.125
189,G3V,21.7704,5.945000171661378,5.252999782562256,5768,G,3,4.625,1.1117317272815914,5705.0,0.9595
190,G7V(e),27.7282,,5.797999858856201,5471,G,7,4.995,0.7906786279998251,5440.0,0.854
191,G8Vk,36.4861,,6.578000068664551,5408,G,8,5.09,0.7244359600749902,5370.0,0.829
192,G5,53.4334,,7.327000141143799,0,G,5,4.805,0.9418895965228418,5575.0,0.906
193,M0.0Ve,15.0578,7.776999950408935,6.0920000076293945,3940,M,0,7.55,0.07516228940182057,3700.0,0.454
194,G6IV/V,124.7723,,7.949999809265138,0,G,6,4.9,0.8629785477669701,5510.0,0.879
195,G3V,32.9118,,5.86299991607666,5860,G,3,4.625,1.1117317272815914,5705.0,0.9595
196,F9VFe-0.5,30.0843,,5.441999912261963,6220,F,9,4.225,1.6069412530128782,6050.0,1.065
197,G5V,30.0801,,6.026999950408936,5703,G,5,4.805,0.9418895965228418,5575.0,0.906
198,M4.0Ve,5.9874,8.262999534606934,6.005000114440918,3242,M,4,10.14,0.006918309709189363,3100.0,0.124
199,F5V,58.2343,,6.152999877929688,6157,F,5,3.7199999999999998,2.558585886905647,6545.0,1.1949999999999998
200,K0IV-V(k),33.8056,,6.495999813079834,5250,K,0,5.31,0.5915616341754742,5200.0,0.781
200,K0IV-V(k),33.8056,,6.495999813079834,5250,K,0,5.31,0.5915616341754742,5200.0,0.781
201,F4V,33.7667,,4.859000205993652,6702,F,4,3.58,2.910717118066606,6690.0,1.23
202,F6/7V,80.6569,,7.290999889373778,6392,F,6,3.86,2.2490546058357817,6400.0,1.16
203,K8V,,,,4521,K,8,6.88,0.13931568029453034,3990.0,0.585
204,F3/5+F6/7,80.1468,,7.396999835968018,0,F,3,3.425,3.3573761424295476,6865.0,1.27
205,A8V,28.4125,4.110000133514403,4.0869998931884775,7790,A,8,2.61,7.112135136533293,7800.0,1.53
